Year,Decade,Month,Date,S&P Comp. Price,Dividend,Earnings,CPI,Monthly Inflation,Rolling 1Y Inflation,Long Interest Rate GS10,Real Prices,Real Dividends,Real Total Return Price,Real Earnings,BRolling Average Real Earnings,Return Percentage,1Y FRolling Return Percentage,5Y Frolling Return Percentage,10Y FRolling Return Percentage,Real TR Scaled Earnings,Rolling 10Y CAPE Average,CAPE (P/E10),TR P/E10 or TR CAPE,
1871,1870,1,1871.01,4.44,0.26,0.4,12.46,,,5.32,92.53,5.42,92.53,8.34,NA,0,0.139090025,0.097254437,0.130610349,8.34,#DIV/0!,NA,NA,
1871,1870,2,1871.02,4.5,0.26,0.4,12.84,0.030497592,,5.32,91,5.26,91.44,8.09,NA,0.004835165,0.162620297,0.105077152,0.130860116,8.13,18.47,NA,NA,
1871,1870,3,1871.03,4.61,0.26,0.4,13.03,0.014797508,,5.33,91.87,5.18,92.74,7.97,NA,0.009469903,0.171662713,0.10371067,0.130953966,8.05,18.31,NA,NA,
1871,1870,4,1871.04,4.74,0.26,0.4,12.56,-0.036070606,,5.33,98.03,5.38,99.42,8.27,NA,0.014179333,0.103701469,0.084287331,0.122056405,8.39,18.29666667,NA,NA,
1871,1870,5,1871.05,4.86,0.26,0.4,12.27,-0.023089172,,5.33,102.85,5.5,104.77,8.47,NA,0.018667963,0.05192326,0.074891533,0.122642789,8.62,18.21,NA,NA,
1871,1870,6,1871.06,4.82,0.26,0.4,12.08,-0.015484923,,5.34,103.61,5.59,106.02,8.6,NA,0.023260303,0.041784569,0.079051854,0.123096535,8.8,18.342,NA,NA,
1871,1870,7,1871.07,4.73,0.26,0.4,12.08,0,,5.34,101.68,5.59,104.52,8.6,NA,0.027930763,0.070991198,0.08181372,0.120019576,8.84,18.45666667,NA,NA,
1871,1870,8,1871.08,4.79,0.26,0.4,11.89,-0.015728477,,5.34,104.62,5.68,108.02,8.74,NA,0.032498566,0.021384929,0.065936805,0.111937434,9.02,18.40857143,NA,NA,
1871,1870,9,1871.09,4.84,0.26,0.4,12.18,0.024390244,,5.35,103.23,5.55,107.07,8.53,NA,0.037198489,0.009619875,0.054878797,0.110030372,8.85,18.26875,NA,NA,
1871,1870,10,1871.1,4.59,0.26,0.4,12.37,0.015599343,,5.35,96.39,5.46,100.45,8.4,NA,0.042120552,0.11010453,0.06580095,0.114767627,8.75,18.09666667,NA,NA,
1871,1870,11,1871.11,4.64,0.26,0.4,12.37,0,,5.35,97.44,5.46,102.02,8.4,NA,0.047003284,0.062340718,0.05896282,0.115270557,8.79,17.913,NA,NA,
1871,1870,12,1871.12,4.74,0.26,0.4,12.65,0.022635408,,5.36,97.3,5.34,102.33,8.21,NA,0.051695786,0.106224958,0.055783307,0.112136791,8.64,17.78272727,NA,NA,
1872,1870,1,1872.01,4.86,0.26,0.4,12.65,0,0.015248796,5.36,99.76,5.4,105.4,8.26,NA,0.056535686,0.087760911,0.046510167,0.10768062,8.73,17.63083333,NA,NA,
1872,1870,2,1872.02,4.88,0.27,0.41,12.65,0,-0.014797508,5.38,100.17,5.47,106.31,8.31,NA,0.061295797,0.068667106,0.039911029,0.103755207,8.82,17.48076923,NA,NA,
1872,1870,3,1872.03,5.04,0.27,0.41,12.84,0.015019763,-0.014581734,5.4,101.92,5.46,108.66,8.24,NA,0.066130298,0.042702006,0.036434193,0.101660686,8.79,17.31428571,NA,NA,
1872,1870,4,1872.04,5.18,0.27,0.41,13.13,0.02258567,0.045382166,5.42,102.48,5.41,109.73,8.11,NA,0.070745511,0.02360339,0.015697653,0.100072886,8.68,17.166,NA,NA,
1872,1870,5,1872.05,5.18,0.28,0.41,13.13,0,0.07008965,5.43,102.48,5.47,110.21,8.16,NA,0.075429352,0.049088105,0.013487592,0.097764572,8.78,17.025625,NA,NA,
1872,1870,6,1872.06,5.13,0.28,0.42,13.03,-0.007616146,0.078642384,5.45,102.23,5.58,110.45,8.27,NA,0.080406926,0.069171571,0.011640152,0.096467186,8.93,16.88117647,NA,NA,
1872,1870,7,1872.07,5.1,0.28,0.42,12.84,-0.014581734,0.062913907,5.47,103.14,5.73,111.94,8.44,NA,0.085320923,0.058424156,0.01806708,0.102503658,9.16,16.73944444,NA,NA,
1872,1870,8,1872.08,5.04,0.29,0.42,12.94,0.007788162,0.088309504,5.49,101.17,5.76,110.33,8.43,NA,0.090540674,0.079579443,0.045171971,0.106844255,9.19,16.66052632,NA,NA,
1872,1870,9,1872.09,4.95,0.29,0.42,13.03,0.006955178,0.069786535,5.51,98.64,5.78,108.1,8.42,NA,0.095904298,0.023589269,0.066516046,0.113700831,9.23,16.604,NA,NA,
1872,1870,10,1872.1,4.97,0.29,0.43,12.75,-0.021488872,0.030719483,5.53,101.26,5.98,111.51,8.66,NA,0.10122457,-0.067168864,0.066599615,0.108701733,9.54,16.57904762,NA,NA,
1872,1870,11,1872.11,4.95,0.3,0.43,13.13,0.029803922,0.061438965,5.54,97.93,5.87,108.38,8.46,NA,0.106708874,-0.038475734,0.075837979,0.108553644,9.36,16.54181818,NA,NA,
1872,1870,12,1872.12,5.07,0.3,0.43,12.94,-0.014470678,0.022924901,5.56,101.77,6.02,113.2,8.63,NA,0.112312076,-0.010335689,0.067971797,0.105858755,9.6,16.48304348,NA,NA,
1873,1870,1,1873.01,5.11,0.3,0.43,12.94,0,0.022924901,5.58,102.58,6.07,114.65,8.68,NA,0.117664262,0.020322721,0.073834116,0.104391477,9.7,16.43708333,NA,NA,
1873,1870,2,1873.02,5.15,0.31,0.44,13.23,0.022411128,0.045849802,5.57,101.15,5.99,113.61,8.54,NA,0.123183391,0.066719479,0.075452813,0.102371501,9.6,16.3904,NA,NA,
1873,1870,3,1873.03,5.11,0.31,0.44,13.23,0,0.030373832,5.56,100.36,6.04,113.3,8.59,NA,0.128935831,0.060194175,0.08678156,0.105585997,9.7,16.32769231,NA,NA,
1873,1870,4,1873.04,5.04,0.31,0.44,13.23,0,0.007616146,5.55,98.99,6.09,112.32,8.64,NA,0.134660067,0.062589031,0.099137018,0.110405236,9.81,16.28037037,NA,NA,
1873,1870,5,1873.05,5.05,0.31,0.44,12.94,-0.021919879,-0.014470678,5.54,101.37,6.27,115.62,8.88,NA,0.140574134,0.019460301,0.102805569,0.106879312,10.13,16.25178571,NA,NA,
1873,1870,6,1873.06,4.98,0.32,0.45,12.56,-0.029366306,-0.036070606,5.53,103,6.51,118.09,9.2,NA,0.146504854,0.023964773,0.109832402,0.109283797,10.55,16.22034483,NA,NA,
1873,1870,7,1873.07,4.97,0.32,0.45,12.56,0,-0.021806854,5.53,102.79,6.57,118.48,9.26,NA,0.152641308,0.01873734,0.113278236,0.109955581,10.67,16.20966667,NA,NA,
1873,1870,8,1873.08,4.97,0.32,0.45,12.56,0,-0.029366306,5.52,102.79,6.62,119.11,9.31,NA,0.158770308,0.030056251,0.109849836,0.104776191,10.78,16.20129032,NA,NA,
1873,1870,9,1873.09,4.59,0.32,0.45,12.56,0,-0.036070606,5.51,94.93,6.67,110.65,9.36,NA,0.165595702,0.133032083,0.133157923,0.115853896,10.91,16.17,NA,NA,
1873,1870,10,1873.1,4.19,0.33,0.46,12.27,-0.023089172,-0.037647059,5.5,88.67,6.88,104.02,9.63,NA,0.173113793,0.229763507,0.149668322,0.1202527,11.3,16.14939394,NA,NA,
1873,1870,11,1873.11,4.04,0.33,0.46,11.89,-0.030969845,-0.094440213,5.49,88.24,7.15,104.21,9.99,NA,0.180983681,0.256021495,0.153718246,0.123429911,11.8,16.11705882,NA,NA,
1873,1870,12,1873.12,4.42,0.33,0.46,12.18,0.024390244,-0.058732612,5.48,94.27,7.04,112.03,9.81,NA,0.188395036,0.167722931,0.14348472,0.112271431,11.66,16.09685714,NA,NA,
1874,1870,1,1874.01,4.66,0.33,0.46,12.37,0.015599343,-0.044049459,5.47,97.86,6.93,116.98,9.66,NA,0.195381157,0.125064114,0.141723862,0.104692234,11.55,16.06361111,NA,NA,
1874,1870,2,1874.02,4.8,0.33,0.46,12.37,0,-0.065003779,5.44,100.8,6.93,121.19,9.66,NA,0.202281746,0.090023929,0.141439217,0.104296035,11.61,16.01945946,NA,NA,
1874,1870,3,1874.03,4.73,0.33,0.46,12.37,0,-0.065003779,5.4,99.33,6.93,120.12,9.66,NA,0.209302326,0.120879121,0.144645422,0.105424504,11.68,15.98763158,NA,NA,
1874,1870,4,1874.04,4.6,0.33,0.46,12.18,-0.015359741,-0.079365079,5.37,98.11,7.04,119.35,9.81,NA,0.216491693,0.140008379,0.15855019,0.103901598,11.93,15.95564103,NA,NA,
1874,1870,5,1874.05,4.48,0.33,0.46,12.08,-0.008210181,-0.066460587,5.34,96.3,7.09,117.87,9.89,NA,0.223987539,0.14431153,0.174113007,0.098946861,12.1,15.9155,NA,NA,
1874,1870,6,1874.06,4.46,0.33,0.46,11.8,-0.023178808,-0.060509554,5.3,98.19,7.27,120.92,10.13,NA,0.231489968,0.118342706,0.174416097,0.092229113,12.47,15.85585366,NA,NA,
1874,1870,7,1874.07,4.46,0.33,0.46,11.89,0.007627119,-0.053343949,5.27,97.41,7.21,120.7,10.05,NA,0.239092496,0.129577465,0.179182923,0.094257516,12.45,15.78571429,NA,NA,
1874,1870,8,1874.08,4.47,0.33,0.46,11.8,-0.007569386,-0.060509554,5.24,98.41,7.27,122.69,10.13,NA,0.246722894,0.113375173,0.179445754,0.099752161,12.63,15.72186047,NA,NA,
1874,1870,9,1874.09,4.54,0.33,0.46,11.8,0,-0.060509554,5.2,99.96,7.27,125.37,10.13,NA,0.254201681,0.095317859,0.177122989,0.095676415,12.7,15.67954545,NA,NA,
1874,1870,10,1874.1,4.53,0.33,0.46,11.61,-0.016101695,-0.053789731,5.17,101.37,7.38,127.92,10.29,NA,0.261911808,0.062460913,0.18616321,0.091693067,12.99,15.63266667,NA,NA,
1874,1870,11,1874.11,4.57,0.33,0.46,11.51,-0.008613264,-0.03195963,5.14,103.11,7.45,130.89,10.38,NA,0.269421007,0.070517228,0.182975637,0.090054782,13.18,15.58130435,NA,NA,
1874,1870,12,1874.12,4.54,0.33,0.46,11.51,0,-0.05500821,5.1,102.43,7.45,130.82,10.38,NA,0.277164893,0.086607552,0.177811487,0.091754573,13.26,15.53276596,NA,NA,
1875,1870,1,1875.01,4.54,0.33,0.45,11.51,0,-0.06952304,5.07,102.43,7.39,131.61,10.19,NA,0.284877477,0.118228098,0.180699082,0.089207209,13.09,15.48895833,NA,NA,
1875,1870,2,1875.02,4.53,0.33,0.44,11.51,0,-0.06952304,5.03,102.21,7.33,132.1,10,NA,0.292437139,0.135276306,0.186131153,0.09146588,12.93,15.44081633,NA,NA,
1875,1870,3,1875.03,4.59,0.32,0.44,11.51,0,-0.06952304,4.99,103.56,7.28,134.64,9.81,NA,0.300115875,0.117572787,0.186092565,0.092754876,12.76,15.3996,NA,NA,
1875,1870,4,1875.04,4.65,0.32,0.43,11.61,0.008688097,-0.04679803,4.95,104.06,7.16,136.06,9.55,NA,0.307514895,0.079817727,0.189487797,0.090690564,12.48,15.36686275,NA,NA,
1875,1870,5,1875.05,4.47,0.32,0.42,11.32,-0.024978467,-0.062913907,4.91,102.55,7.28,134.88,9.6,NA,0.315260848,0.09415777,0.18140539,0.093515748,12.62,15.33192308,NA,NA,
1875,1870,6,1875.06,4.38,0.32,0.41,11.13,-0.016784452,-0.056779661,4.87,102.2,7.35,135.23,9.57,NA,0.323189824,0.120831177,0.188997712,0.095914455,12.66,15.30132075,NA,NA,
1875,1870,7,1875.07,4.39,0.31,0.4,11.13,0,-0.06391926,4.83,102.44,7.29,136.34,9.37,NA,0.33092542,0.105031539,0.200100256,0.098261041,12.48,15.27685185,NA,NA,
1875,1870,8,1875.08,4.41,0.31,0.39,11.23,0.008984726,-0.048305085,4.79,102.03,7.17,136.6,9.1,NA,0.338821915,0.053953148,0.210502948,0.104569026,12.18,15.25963636,NA,NA,
1875,1870,9,1875.09,4.37,0.31,0.39,11.13,-0.00890472,-0.056779661,4.75,101.97,7.18,137.32,8.98,NA,0.346670589,-0.018060006,0.208648364,0.10440333,12.1,15.25732143,NA,NA,
1875,1870,10,1875.1,4.3,0.31,0.38,11.13,0,-0.041343669,4.71,100.34,7.12,135.91,8.79,NA,0.354494718,-0.024648665,0.22044079,0.112275457,11.91,15.25491228,NA,NA,
1875,1870,11,1875.11,4.37,0.3,0.37,11.04,-0.008086253,-0.040834057,4.67,102.85,7.12,140.12,8.67,NA,0.362372387,-0.073936626,0.225365408,0.114997602,11.81,15.26758621,NA,NA,
1875,1870,12,1875.12,4.37,0.3,0.36,10.94,-0.009057971,-0.049522155,4.63,103.74,7.12,142.15,8.55,NA,0.370252554,-0.102075273,0.231554467,0.110353239,11.71,15.29389831,NA,NA,
1876,1870,1,1876.01,4.46,0.3,0.35,10.85,-0.008226691,-0.057341442,4.59,106.81,7.18,147.17,8.46,NA,0.377867241,-0.149147245,0.242109954,0.109534916,11.66,15.31066667,NA,NA,
1876,1870,2,1876.02,4.52,0.3,0.35,10.85,0,-0.057341442,4.58,108.24,7.18,149.97,8.3,NA,0.385532151,-0.187704208,0.236424099,0.109969246,11.5,15.33327869,NA,NA,
1876,1870,3,1876.03,4.51,0.3,0.34,10.85,0,-0.057341442,4.57,108.01,7.18,150.47,8.14,NA,0.393111749,-0.189938194,0.240653432,0.109019861,11.34,15.36032258,NA,NA,
1876,1870,4,1876.04,4.34,0.3,0.33,10.75,-0.00921659,-0.074074074,4.56,104.85,7.25,146.92,8.05,NA,0.401239866,-0.245984209,0.245691334,0.11193047,11.28,15.38380952,NA,NA,
1876,1870,5,1876.05,4.18,0.3,0.33,10.37,-0.035348837,-0.083922261,4.54,104.69,7.51,147.58,8.18,NA,0.409685739,-0.257487464,0.26051939,0.11241019,11.53,15.4059375,NA,NA,
1876,1870,6,1876.06,4.15,0.3,0.32,10.09,-0.027000964,-0.09344115,4.53,106.88,7.73,151.57,8.24,NA,0.418132485,-0.285346704,0.259309401,0.116238486,11.69,15.42830769,NA,NA,
1876,1870,7,1876.07,4.1,0.3,0.31,10.09,0,-0.09344115,4.52,105.6,7.73,150.66,8.07,NA,0.426704545,-0.251294305,0.251867382,0.117593602,11.51,15.46469697,NA,NA,
1876,1870,8,1876.08,3.93,0.3,0.31,10.18,0.008919722,-0.093499555,4.51,100.27,7.65,143.97,7.83,NA,0.435823277,-0.12356741,0.254952632,0.122519436,11.24,15.50029851,NA,NA,
